OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
17793,E BOSTON ST,"E BOSTON ST, W/O 11TH AVE E",2017,13859,6235,324780
27025,E PINE ST,"E PINE ST, W/O 12TH AVE",2018,14637,8763,325408
20123,M L KING JR WAY E,"M L KING JR WAY E, N/O E JOHN ST",2017,11496,8706,325994
35281,EASTLAKE AVE E,"EASTLAKE AVE E, N/O THOMAS ST",2018,10164,8988,327101
44585,SW HENDERSON ST,"SW HENDERSON ST, E/O 11TH AVE SW",2018,22292,6295,325455
39118,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O BROOKLYN AVE NE",2018,18070,3866,325428
898,EAST GREEN LAKE WAY N,"EAST GREEN LAKE WAY N, E/O SUNNYSIDE AVE N",2017,14080,12342,325810
33200,3RD AVE,"3RD AVE, NW/O MADISON ST",2017,4379,11974,324002
31642,16TH AVE SW,"16TH AVE SW, N/O SW ROXBURY ST",2018,2350,4283,325448
11579,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O 11TH AVE NE",2018,18068,4187,326181
12327,S BAILEY ST,"S BAILEY ST, E/O ELLIS AVE S",2017,19419,10186,325951
20945,S ORCAS ST,"S ORCAS ST, E/O 51ST AVE S",2017,21000,2484,325849
34956,LENORA ST,"LENORA ST, NE/O 5TH AVE",2017,11371,4504,324545
27357,MERIDIAN AVE N,"MERIDIAN AVE N, N/O N 117TH ST",2018,11830,7840,325493
8326,35TH AVE SW,"35TH AVE SW, S/O SW THISTLE ST",2017,5478,20772,326329
32775,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O NE 65TH ST",2018,18062,7728,325101
9063,ROY ST,"ROY ST, E/O 3RD AVE N",2017,12683,5566,325929
21203,SEWARD PARK AVE S,"SEWARD PARK AVE S, NW/O 56TH N AVE S",2017,12791,860,326287
33316,CONDON WAY W,"CONDON WAY W, NW/O W NEWTON ST",2018,9745,969,325628
44399,S HENDERSON ST,"S HENDERSON ST, W/O SEWARD PARK AVE S",2018,20246,4408,325105
41594,E PINE ST,"E PINE ST, W/O 15TH AVE",2018,14640,6589,325461
882,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, S/O SW MYRTLE ST",2017,10407,10467,326219
15082,WALLINGFORD AVE N,"WALLINGFORD AVE N, N/O N 88TH ST",2017,13390,10677,324815
46483,BRIDGE WAY N,"BRIDGE WAY N, SW/O N 39TH E ST",2018,9406,12557,326768
23975,SW CHARLESTOWN ST,"SW CHARLESTOWN ST, E/O 52ND W AVE SW",2017,337247,2771,324656
8560,MAYNARD AVE S,"MAYNARD AVE S, S/O S CHARLES ST",2017,11705,6667,324903
41541,VALLEY ST,"VALLEY ST, E/O 6TH AVE N",2018,13262,2981,325581
46253,3RD AVE NW,"3RD AVE NW, S/O NW 95TH ST",2018,4484,7626,326136
34936,SEWARD PARK AVE S,"SEWARD PARK AVE S, SE/O OAKHURST N RD S",2017,12794,2308,325845
29700,MAGNOLIA BLVD W,"MAGNOLIA BLVD W, N/O W GARFIELD ST",2018,11607,9620,325560
35692,1ST AVE,"1ST AVE, SE/O SENECA ST",2017,1005,13733,326395
38482,N 45TH ST,"N 45TH ST, E/O WHITMAN E AVE N",2018,15538,1506,324999
13988,S HARDY ST,"S HARDY ST, NE/O STANLEY AVE S",2017,20209,4581,325891
23566,NE RAVENNA WB BV,"NE RAVENNA WB BV, NW/O 17TH AVE NE",2018,18094,3542,325431
14884,S WALKER ST,"S WALKER ST, E/O 25TH AVE S",2017,21460,2398,325986
11913,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, W/O 4TH AVE S",2017,21216,4099,325705
4637,M L KING JR WAY,"M L KING JR WAY, N/O E MARION ST",2017,11488,15115,326062
12226,15TH AVE NE,"15TH AVE NE, N/O NE 40TH ST",2017,2029,8502,325640
2740,28TH AVE W,"28TH AVE W, N/O W BERTONA ST",2017,4250,3095,324754
21537,5TH AVE NE,"5TH AVE NE, N/O NE 85TH ST",2017,7320,11275,326291
3125,NE 85TH ST,"NE 85TH ST, E/O 39TH AVE NE",2018,17726,2470,325631
20940,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, E/O 1ST AVE S",2017,21214,2812,325709
9407,N 45TH ST,"N 45TH ST, E/O BURKE AVE N",2017,15549,26666,325835
17852,HARBOR AVE SW,"HARBOR AVE SW, N/O SW SPOKANE NR ST",2017,10821,17728,325421
31638,15TH AVE NE,"15TH AVE NE, S/O NE 80TH ST",2017,2057,7883,325646
44135,YALE AVE,"YALE AVE, NW/O HOWELL ST",2017,13737,16571,326239
2774,4TH AVE S,"4TH AVE S, S/O S SPOKANE SR ST",2018,6247,34537,326365
20177,FLORENTIA ST,"FLORENTIA ST, E/O NICKERSON ST",2017,10461,3683,326231
3106,11TH AVE W,"11TH AVE W, N/O W DRAVUS ST",2017,1502,3210,325955
43792,E UNION ST,"E UNION ST, E/O 30TH AVE",2017,14907,4931,325992
43576,ELLIS AVE S,"ELLIS AVE S, S/O S MYRTLE ST",2017,10232,10311,325919
46230,NE 45TH ST,"NE 45TH ST, E/O 5TH AVE NE",2018,16843,33004,326474
29829,23RD AVE,"23RD AVE, N/O E OLIVE N ST",2017,3367,18883,325900
32789,48TH AVE SW,"48TH AVE SW, SW/O SW HOLLY ST",2017,7159,2372,324876
32811,S INDUSTRIAL EB WAY,"S INDUSTRIAL EB WAY, SE/O 4TH AVE S",2017,20458,4686,324556
11830,1ST AVE,"1ST AVE, S/O CHERRY ST",2017,1000,12475,326383
27204,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, N/O MERCER ST",2017,12299,10661,325385
4807,AIRPORT WAY S,"AIRPORT WAY S, NW/O S ROYAL BROUGHAM WAY",2018,8655,11149,326611
27374,S HARDY ST,"S HARDY ST, E/O 13TH AVE S",2017,20208,1615,324574
20164,NW 54TH ST,"NW 54TH ST, W/O 30TH WR AVE NW",2018,274363,7880,325726
33049,W MCGRAW ST,"W MCGRAW ST, W/O 1ST AVE W",2018,23551,7149,325555
35591,WATERS ER AVE S,"WATERS ER AVE S, NW/O S NORFOLK ST",2018,166440,1842,325551
9606,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW ALASKA ST",2017,9554,11211,325822
15710,SW WILDWOOD PL,"SW WILDWOOD PL, E/O 45TH AVE SW",2018,22991,5618,325508
20174,1ST AVE N,"1ST AVE N, S/O ROY ST",2017,1030,4435,324420
38770,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, S/O NE 66TH ST",2017,12615,11330,324674
4089,S CLOVERDALE ST,"S CLOVERDALE ST, W/O 5TH AVE S",2017,19645,13551,326021
9787,S SPOKANE SR ST,"S SPOKANE SR ST, W/O EAST MARGINAL WAY S",2017,21322,6494,324412
9416,NW MARKET ST,"NW MARKET ST, NW/O 3RD AVE NW",2017,19217,21978,325683
9225,FLORENTIA ST,"FLORENTIA ST, E/O QUEEN ANNE E AVE N",2017,10456,4535,325953
12357,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O ROOSEVELT WAY NE",2018,18067,4764,325427
371,16TH AVE SW,"16TH AVE SW, N/O SW HOLDEN ST",2017,2339,15469,325921
34982,15TH AVE NE,"15TH AVE NE, S/O NE 55TH ST",2017,2038,12473,325662
15372,NE 65TH ST,"NE 65TH ST, E/O 48TH AVE NE",2017,17307,4343,324399
4542,SW ROXBURY ST,"SW ROXBURY ST, E/O 17TH AVE SW",2017,22762,18241,325419
9499,LAKEVIEW BLVD E,"LAKEVIEW BLVD E, NE/O EASTLAKE AVE E",2017,11277,6545,325839
46640,28TH AVE W,"28TH AVE W, N/O W GALER ST",2018,4224,3171,326189
2570,SW ROXBURY ST,"SW ROXBURY ST, E/O 8TH AVE SW",2017,22753,27843,325417
41569,DELMAR DR E,"DELMAR DR E, NW/O 11TH AVE E",2017,9955,7141,326035
4509,BOREN AVE,"BOREN AVE, SE/O HOWELL ST",2017,9321,25385,326341
29264,10TH AVE E,"10TH AVE E, S/O E MILLER ST",2017,1300,18147,325658
8383,NE 95TH ST,"NE 95TH ST, E/O 27TH AVE NE",2017,17899,9111,326251
29343,FREMONT AVE N,"FREMONT AVE N, S/O N 48TH ST",2018,10500,4170,325800
46083,34TH AVE,"34TH AVE, N/O E MARION ST",2017,5206,4396,326223
9589,SEWARD PARK AVE S,"SEWARD PARK AVE S, S/O S MYRTLE ST",2017,12804,13133,326213
46131,3RD AVE,"3RD AVE, SE/O LENORA ST",2017,4387,9769,326451
4462,20TH AVE NE,"20TH AVE NE, N/O NE 54TH ST",2018,2964,2801,325751
41560,LINDEN AVE N,"LINDEN AVE N, N/O N 68TH ST",2017,11414,9173,324438
23791,NE 125TH ST,"NE 125TH ST, W/O LAKE CITY WAY NE",2018,16500,12021,325591
37665,BROADWAY E,"BROADWAY E, N/O E HARRISON ST",2017,9454,11430,326235
38936,UNION BAY PL NE,"UNION BAY PL NE, SE/O 30TH AVE NE",2018,13188,6665,325749
14497,15TH AVE S,"15TH AVE S, S/O S LANDER ST",2017,2144,9910,325984
41383,BOYLSTON AVE E,"BOYLSTON AVE E, N/O E LYNN ST",2017,9392,12144,324830
23635,NW 80TH ST,"NW 80TH ST, W/O 27TH AVE NW",2018,18911,4742,325792
8467,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, SW/O AIRPORT NB WAY S",2017,21220,4488,325707
18131,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, E/O 4TH AVE S",2017,21217,9615,325701
34938,LEARY WAY NW,"LEARY WAY NW, NW/O 8TH AVE NW",2017,11345,27187,326015
23405,NE 70TH ST,"NE 70TH ST, E/O 47TH E AVE NE",2018,17423,5150,326187
32959,SEAVIEW AVE NW,"SEAVIEW AVE NW, SE/O 38TH AVE NW",2017,12759,5532,326245
11710,7TH AVE S,"7TH AVE S, N/O S PLUMMER ST",2018,8212,7882,325368
35266,S INDUSTRIAL WB WAY,"S INDUSTRIAL WB WAY, NW/O 6TH AVE S",2017,20462,4805,324555
18321,5TH AVE NE,"5TH AVE NE, S/O NE 103RD ST",2017,7332,7726,323928
37488,W NICKERSON ST,"W NICKERSON ST, NW/O QUEEN ANNE AVE N",2017,23610,21115,325904
38924,BOREN AVE,"BOREN AVE, SE/O DENNY WAY",2017,9325,11927,326337
38362,SWIFT AVE S,"SWIFT AVE S, NW/O S GRAHAM ST",2017,13041,23053,326303
38296,40TH AVE NE,"40TH AVE NE, N/O NE 65TH ST",2018,6320,5932,325865
14371,MAGNOLIA BLVD W,"MAGNOLIA BLVD W, S/O W DRAVUS ST",2017,11619,1506,326096
32908,3RD AVE,"3RD AVE, NW/O PIKE ST",2017,4384,8471,325652
35471,NE 55TH ST,"NE 55TH ST, E/O RAVENNA PL NE",2018,17040,7464,325744
44217,NE RAVENNA EB BV,"NE RAVENNA EB BV, E/O UNIVERSITY WAY NE",2018,18071,3659,325429
26427,32ND AVE NW,"32ND AVE NW, N/O NW 80TH ST",2018,5002,4337,326449
27063,LENORA ST,"LENORA ST, NE/O 3RD AVE",2017,11369,6904,326310
2716,SYLVAN WAY SW,"SYLVAN WAY SW, NW/O DELRIDGE WAY SW",2017,13062,4862,326215
29313,14TH AVE S,"14TH AVE S, S/O S ATLANTIC ST",2017,1925,3905,324629
17436,S CLOVERDALE ST,"S CLOVERDALE ST, W/O 47TH AVE S",2018,19664,4206,325332
9765,NW MARKET ST,"NW MARKET ST, W/O BALLARD AVE NW",2018,19235,10340,325724
41453,NW 85TH ST,"NW 85TH ST, E/O 31ST AVE NW",2017,18988,7255,323827
8556,1ST AVE,"1ST AVE, SE/O MADISON ST",2017,1003,16105,326387
46653,NE 45TH ST,"NE 45TH ST, W/O 12TH AVE NE",2017,16849,34754,325672
20881,UNIVERSITY WAY NE,"UNIVERSITY WAY NE, N/O NE 47TH ST",2017,13223,6648,325830
14289,NE RAVENNA WB BV,"NE RAVENNA WB BV, W/O 15TH N AVE NE",2018,18093,2586,325432
46436,1ST AVE,"1ST AVE, NW/O PIKE ST",2017,1009,17839,325650
25698,WEST VIEWMONT WAY W,"WEST VIEWMONT WAY W, S/O W DRAVUS ST",2017,23791,1657,325913
35405,SW WILDWOOD PL,"SW WILDWOOD PL, SE/O 47TH AVE SW",2018,22993,7690,325318
18102,NW LEARY WAY,"NW LEARY WAY, W/O 14TH AVE NW",2017,19210,9976,325699
11762,40TH AVE NE,"40TH AVE NE, N/O NE 60TH ST",2017,6318,6548,325886
44047,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, N/O MCGRAW ST",2018,12315,5716,325086
46615,2ND AVE NE,"2ND AVE NE, S/O NE 42ND E ST",2017,2799,2212,324609
35096,DEXTER AVE N,"DEXTER AVE N, N/O DEXTER WAY N",2018,10090,7995,325483
29481,RAVENNA AVE NE,"RAVENNA AVE NE, N/O NE 55TH N ST",2018,12455,4159,325754
46600,32ND AVE NW,"32ND AVE NW, S/O NW 57TH ST",2018,4976,5764,326564
32913,15TH AVE E,"15TH AVE E, S/O E REPUBLICAN S ST",2017,2007,9334,325644
20161,NE 75TH ST,"NE 75TH ST, E/O 47TH AVE NE",2017,17546,5559,326289
26060,42ND AVE E,"42ND AVE E, S/O E LYNN ST",2017,6503,1611,324694
35344,24TH AVE NW,"24TH AVE NW, N/O NW 80TH ST",2017,3606,9524,324856
15341,DELRIDGE WAY SW,"DELRIDGE WAY SW, NW/O SW ROXBURY ST",2018,9994,6530,325446
41062,15TH AVE S,"15TH AVE S, N/O S COLLEGE ST",2017,2140,11923,326259
31667,35TH AVE SW,"35TH AVE SW, S/O SW AVALON WAY",2017,5450,22578,326327
40987,BEACON AVE S,"BEACON AVE S, NW/O 17TH AVE S",2017,9120,8695,325824
41606,NW 100TH PL,"NW 100TH PL, SW/O 7TH AVE NW",2018,18114,7477,324986
19987,AIRPORT WAY S,"AIRPORT WAY S, N/O S SPOKANE ST",2017,8675,19841,326377
774,1ST AVE,"1ST AVE, SE/O UNION ST",2017,1007,21422,326391
20287,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, N/O SW OREGON ST",2017,9552,14450,325818
33006,BOREN AVE,"BOREN AVE, NW/O STEWART ST",2017,9323,17733,326346
43578,E PINE ST,"E PINE ST, W/O 16TH AVE",2018,14641,4347,327278
17614,AURORA AVE N,"AURORA AVE N, N/O N 68TH ST",2018,8944,40714,326140
12303,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O NE 63RD ST",2018,18064,4953,325102
45994,BOREN AVE S,"BOREN AVE S, SE/O 12TH AVE S",2017,9333,17916,326343
43655,LAKE DELL AVE,"LAKE DELL AVE, NE/O 32ND AVE",2017,11191,1767,326225
29328,THORNDYKE AVE W,"THORNDYKE AVE W, NE/O W BOSTON ST",2018,13155,4687,326486
17603,LATONA AVE NE,"LATONA AVE NE, N/O NE 53RD ST",2017,11300,4923,324800
2599,NW MARKET ST,"NW MARKET ST, E/O 32ND AVE NW",2018,19240,4592,325731
32323,3RD AVE,"3RD AVE, SE/O MARION ST",2017,4377,7543,325664
41614,8TH AVE NW,"8TH AVE NW, N/O NW 46TH ST",2018,8375,6804,325557
44294,W TILDEN ST,"W TILDEN ST, W/O 29TH AVE W",2017,23778,1379,324850
37389,NE 100TH ST,"NE 100TH ST, E/O 3RD AVE NE",2017,16146,5723,323936
25871,M L KING JR WAY S,"M L KING JR WAY S, N/O S HILL ST",2017,11514,23819,325947
35403,30TH AVE W,"30TH AVE W, N/O W THURMAN ST",2018,4759,622,325354
26599,19TH AVE E,"19TH AVE E, N/O E PROSPECT ST",2017,2662,4684,326058
11706,WILSON AVE S,"WILSON AVE S, NW/O 52ND N AVE S",2018,13610,10663,325624
8604,E MADISON ST,"E MADISON ST, SW/O E DENNY WAY",2017,14352,14244,325902
38048,NW 85TH ST,"NW 85TH ST, W/O 1ST AVE NW",2017,18958,18786,325877
20505,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, N/O SW ALASKA ST",2017,9553,9976,325820
32975,WOODLAND PL N,"WOODLAND PL N, N/O N 64TH ST",2018,13645,12425,325729
46354,N 35TH ST,"N 35TH ST, E/O TROLL AVE N",2018,15302,8834,325282
12228,W BARRETT ST,"W BARRETT ST, W/O 31ST AVE W",2018,23072,3578,325049
14283,NE 73RD ST,"NE 73RD ST, E/O ROOSEVELT WAY NE",2018,17463,2963,325757
38812,WOODLAWN AVE NE,"WOODLAWN AVE NE, E/O 1ST S AVE NE",2017,13705,2836,325812
29931,BEACH DR SW,"BEACH DR SW, SE/O SW BEACH DRIVE TER",2017,9105,4893,325911
41214,34TH AVE W,"34TH AVE W, N/O W THURMAN ST",2018,5329,5949,325608
32316,S JACKSON ST,"S JACKSON ST, W/O 18TH AVE S",2017,20497,11929,326229
41563,COLLEGE WAY N,"COLLEGE WAY N, N/O N 97TH ST",2017,9702,8020,326299
20134,20TH AVE NW,"20TH AVE NW, N/O LEARY AVE NW",2018,3016,6932,326601
43831,N 80TH ST,"N 80TH ST, W/O GREENWOOD AVE N",2018,15890,14341,325789
15568,SAND POINT WAY NE,"SAND POINT WAY NE, S/O NE 70TH ST",2018,12723,16217,325072
18147,NE 40TH ST,"NE 40TH ST, E/O 4TH AVE NE",2018,16730,5623,325475
11690,12TH AVE NE,"12TH AVE NE, S/O NE 70TH ST",2017,1584,6763,323981
38053,E CHERRY ST,"E CHERRY ST, E/O 20TH AVE",2017,13889,8382,326064
23495,23RD AVE S,"23RD AVE S, S/O S HORTON ST",2017,3467,14025,325883
31980,NE RAVENNA WB BV,"NE RAVENNA WB BV, NW/O NE 63RD ST",2018,18084,4888,325079
41328,N 115TH ST,"N 115TH ST, W/O MERIDIAN AVE N",2018,15076,9513,325491
26547,BEACON ER AVE S,"BEACON ER AVE S, N/O S BRANDON ST",2017,9135,13531,326307
38490,NW 65TH ST,"NW 65TH ST, W/O 28TH AVE NW",2018,18637,4619,326562
41674,S MOUNT BAKER EB BV,"S MOUNT BAKER EB BV, E/O 32ND AVE S",2017,20889,468,324787
35543,S GENESEE ST,"S GENESEE ST, W/O 38TH AVE S",2017,20096,8696,325961
20096,S CLOVERDALE ST,"S CLOVERDALE ST, E/O 7TH AVE S",2017,19647,12636,326301
17475,MAGNOLIA BLVD W,"MAGNOLIA BLVD W, NW/O W HOWE W ST",2018,11611,2279,325537
46136,24TH AVE NW,"24TH AVE NW, S/O NW 91ST ST",2018,3611,2396,325971
23439,MADRONA DR,"MADRONA DR, N/O E OLIVE ST",2017,11599,4018,325898
35561,35TH AVE SW,"35TH AVE SW, S/O FAUNTLEROY S WAY SW",2017,5449,18362,326333
44059,8TH AVE NW,"8TH AVE NW, S/O NW 92ND ST",2017,8417,8767,324689
412,34TH AVE W,"34TH AVE W, S/O W RAYE ST",2017,5321,5893,326110
9811,MERIDIAN AVE N,"MERIDIAN AVE N, N/O N 60TH ST",2017,11804,1929,325814
2451,35TH AVE NE,"35TH AVE NE, S/O NE 125TH ST",2017,5395,12045,325881
41071,11TH AVE NE,"11TH AVE NE, N/O NE 52ND ST",2017,1412,4759,323979
18115,NE 50TH ST,"NE 50TH ST, W/O 12TH AVE NE",2017,16931,18514,326092
41661,S MCCLELLAN ST,"S MCCLELLAN ST, W/O M L KING JR WAY S",2017,20813,10840,327094
32517,STONE WAY N,"STONE WAY N, N/O BRIDGE WAY N",2018,12960,20898,325487
884,28TH AVE NW,"28TH AVE NW, N/O NW 92ND ST",2017,4170,1079,324865
3186,20TH AVE W,"20TH AVE W, N/O W DRAVUS ST",2017,3091,6498,324818
37923,LAKE WASHINGTON BLVD E,"LAKE WASHINGTON BLVD E, SE/O 36TH AVE E",2018,11204,5743,325016
32885,W GOVERNMENT WAY,"W GOVERNMENT WAY, W/O 32ND S AVE W",2018,23389,6952,327261
32914,12TH AVE NE,"12TH AVE NE, N/O NE 71ST ST",2017,1586,7692,323817
4136,NE 45TH ST,"NE 45TH ST, W/O 19TH AVE NE",2018,16857,24341,326624
23284,W MCGRAW ST,"W MCGRAW ST, W/O PIEDMONT PL W",2018,23574,2952,325562
21275,WEST GREEN LAKE DR N,"WEST GREEN LAKE DR N, NE/O STONE AVE N",2018,23394,3755,325733
9177,15TH AVE E,"15TH AVE E, N/O E PROSPECT N ST",2017,2017,5927,325648
14690,SEWARD PARK AVE S,"SEWARD PARK AVE S, S/O WABASH AVE S",2017,12813,9939,326263
23422,NE NORTHLAKE WAY,"NE NORTHLAKE WAY, SW/O 2ND AVE NE",2017,18029,9342,326104
18107,3RD AVE,"3RD AVE, NW/O MARION ST",2017,4378,7930,324006
352,NICKERSON ST,"NICKERSON ST, NW/O CREMONA ST",2017,269718,16523,325907
3166,35TH AVE S,"35TH AVE S, N/O S LANE ST",2018,5412,2951,325023
4227,MERIDIAN AVE N,"MERIDIAN AVE N, N/O N 51ST ST",2018,11799,3703,325005
46645,SW TRENTON ST,"SW TRENTON ST, E/O 30TH AVE SW",2017,22928,7108,325855
20142,N 50TH ST,"N 50TH ST, W/O STONE AVE N",2018,15645,12456,325797
35373,W HOWE ST,"W HOWE ST, W/O 10TH AVE W",2017,23449,9567,325959
27169,40TH AVE NE,"40TH AVE NE, S/O NE 77TH ST",2018,6326,4247,325633
