OBJECTID,STNAME,COUNT_LOCATION,YEAR,SEGKEY,AAWDT,INPUT_STUDY_ID
26907,19TH AVE E,"19TH AVE E, S/O E CALHOUN ST",2017,2668,3541,326037
8487,8TH AVE NW,"8TH AVE NW, N/O NW 58TH ST",2017,8387,15036,325873
26611,9TH AVE SW,"9TH AVE SW, N/O SW THISTLE ST",2017,8619,5824,325828
14122,EASTLAKE AVE E,"EASTLAKE AVE E, N/O MERCER ST",2017,10167,16056,326233
12090,N 34TH ST,"N 34TH ST, W/O WALLINGFORD AVE N",2017,15294,12413,326295
41781,S ALASKA ST,"S ALASKA ST, SE/O S COLUMBIAN WAY",2017,19292,12213,326283
40761,19TH AVE,"19TH AVE, N/O E HOWELL ST",2017,2652,6297,326060
35441,S CLOVERDALE PL,"S CLOVERDALE PL, SW/O GRATTAN PL S",2018,9694,4340,327273
38372,NE 70TH ST,"NE 70TH ST, W/O 40TH AVE NE",2018,17413,3510,325635
2911,11TH AVE NE,"11TH AVE NE, N/O NE 45TH ST",2017,1409,4137,324397
18087,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE NORTHGATE WAY",2017,12653,14404,326241
17468,3RD AVE NW,"3RD AVE NW, N/O NW 54TH ST",2018,4455,5722,325802
8872,NE 65TH ST,"NE 65TH ST, W/O 36TH E AVE NE",2017,17293,7494,324892
25837,6TH AVE S,"6TH AVE S, N/O S MICHIGAN ST",2017,8021,5933,326017
5402,BEACON ER AVE S,"BEACON ER AVE S, NW/O CECIL AVE S",2017,269430,2366,325863
43787,E MADISON ST,"E MADISON ST, NE/O BROADWAY",2018,14337,21312,326621
11771,AIRPORT WAY S,"AIRPORT WAY S, NW/O MAYNARD AVE S",2017,8653,6777,326379
2435,MONTLAKE BLVD E,"MONTLAKE BLVD E, N/O E HAMLIN ST",2017,11908,66361,325935
17559,CORNELL AVE S,"CORNELL AVE S, N/O S 115TH ST",2018,9818,4108,325330
9581,E MADISON ST,"E MADISON ST, NE/O 11TH AVE",2018,14341,20452,326628
43747,E MADISON ST,"E MADISON ST, SW/O 15TH AVE",2018,14345,17806,326617
20357,BATTERY ST,"BATTERY ST, SW/O AURORA AVE",2017,9077,6229,324322
17970,W EMERSON ST,"W EMERSON ST, W/O 36TH AVE W",2017,23296,3788,326051
29098,16TH AVE SW,"16TH AVE SW, N/O SW TRENTON ST",2017,2346,5695,325826
17737,35TH AVE NE,"35TH AVE NE, S/O NE 103RD ST",2018,5385,12679,325593
4605,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, N/O SW STEVENS ST",2017,9541,17559,325867
24063,STONE WAY N,"STONE WAY N, N/O N 38TH ST",2018,12958,11393,325485
33198,7TH AVE NE,"7TH AVE NE, N/O NE 40TH ST",2018,8170,8618,325467
29336,NE 45TH ST,"NE 45TH ST, E/O ROOSEVELT WAY NE",2017,16848,30811,325804
32795,W OLYMPIC PL,"W OLYMPIC PL, E/O 2ND AVE W",2017,23622,800,324646
12068,SW BARTON ST,"SW BARTON ST, W/O 38TH W AVE SW",2017,21855,7172,326323
15338,WILSON AVE S,"WILSON AVE S, S/O S GRAHAM ST",2018,13620,8645,325098
41029,WALL ST,"WALL ST, NE/O 4TH AVE",2017,13358,4360,324317
21379,NE RAVENNA WB BV,"NE RAVENNA WB BV, NW/O WOODLAWN AVE NE",2018,18081,4663,327161
44193,N 122ND ST,"N 122ND ST, W/O MERIDIAN AVE N",2018,15121,5940,327269
14354,NE 100TH ST,"NE 100TH ST, E/O 1ST AVE NE",2017,16145,7173,323940
41017,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, NE/O SW ALASKA ST",2017,606535,29651,325941
12336,4TH AVE,"4TH AVE, SE/O WALL ST",2018,6141,3505,326142
2794,WEEDIN PL NE,"WEEDIN PL NE, NW/O NE 68TH ST",2017,13491,5715,324802
15141,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O EAST GREEN LAKE DR N",2018,18059,2580,325095
11721,32ND AVE NW,"32ND AVE NW, S/O NW MARKET ST",2018,4974,2214,326566
43675,LAKE CITY WAY NE,"LAKE CITY WAY NE, N/O NE 110TH ST",2017,11165,32238,325391
17556,BOREN AVE,"BOREN AVE, SE/O PINE ST",2017,9319,18119,326369
4300,PHINNEY AVE N,"PHINNEY AVE N, N/O N 48TH ST",2018,12143,4080,325791
46009,BEACON AVE S,"BEACON AVE S, S/O S SPOKANE ST",2017,573395,14341,326464
46485,S COLUMBIAN WAY,"S COLUMBIAN WAY, S/O S SPOKANE ST",2017,19691,15978,326375
3192,EAST GREEN LAKE DR N,"EAST GREEN LAKE DR N, NW/O NE 72ND ST",2017,14057,10910,324809
26938,LAKE WASHINGTON BLVD E,"LAKE WASHINGTON BLVD E, N/O BOYER AVE E",2017,11212,11485,326039
2531,NE RAVENNA WB BV,"NE RAVENNA WB BV, NW/O NE 65TH ST",2018,18083,4033,325080
24037,3RD AVE,"3RD AVE, SE/O STEWART ST",2017,4385,10657,325654
11760,BOREN AVE,"BOREN AVE, NW/O HOWELL ST",2017,9322,25275,326367
44044,RAINIER AVE S,"RAINIER AVE S, SE/O 23RD AVE S",2017,12359,26098,325711
4626,NE 103RD ST,"NE 103RD ST, E/O 3RD AVE NE",2017,504367,9908,326293
38112,49TH AVE SW,"49TH AVE SW, N/O SW EDMUNDS ST",2017,7209,2518,326761
14711,NE 125TH ST,"NE 125TH ST, E/O LAKE CITY WAY NE",2017,16501,14401,325875
12100,NE 55TH ST,"NE 55TH ST, W/O 45TH AVE NE",2017,17057,5377,325889
32304,S COLUMBIAN WAY,"S COLUMBIAN WAY, E/O BEACON ER AVE S",2017,19700,14897,326373
388,25TH AVE NE,"25TH AVE NE, N/O MONTLAKE BLVD NE",2017,3719,20383,325915
27364,7TH AVE NE,"7TH AVE NE, N/O NE 42ND ST",2018,8171,7056,325381
46613,SW HENDERSON ST,"SW HENDERSON ST, E/O 16TH AVE SW",2018,22297,6873,325438
38235,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O NE 68TH ST",2018,18061,4669,325096
31832,PINE ST,"PINE ST, NE/O 1ST AVE",2017,12213,2756,324403
521,NW 85TH ST,"NW 85TH ST, W/O 26TH W AVE NW",2017,18983,4251,326243
43695,NE 103RD ST,"NE 103RD ST, E/O 2ND AVE NE",2017,16185,9341,323933
2804,S DEARBORN ST,"S DEARBORN ST, W/O 6TH AVE S",2017,19826,9464,325896
40892,35TH AVE SW,"35TH AVE SW, N/O SW 104TH ST",2017,5490,9685,326331
4440,S CLOVERDALE ST,"S CLOVERDALE ST, W/O 44TH AVE S",2018,19660,5107,325481
26776,E MADISON ST,"E MADISON ST, SW/O 13TH AVE",2017,14342,18559,325713
34962,FAUNTLEROY WAY SW,"FAUNTLEROY WAY SW, SW/O SW GRAHAM ST",2017,652860,12869,325927
23434,3RD AVE,"3RD AVE, SE/O COLUMBIA ST",2017,4376,6266,325666
8394,NE 80TH ST,"NE 80TH ST, W/O 19TH AVE NE",2018,17620,1941,325606
4552,N 34TH ST,"N 34TH ST, E/O TROLL AVE N",2017,15287,15287,324400
2959,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, N/O SW CHARLESTOWN ST",2018,9547,15261,327090
23420,SW ALASKA ST,"SW ALASKA ST, E/O 37TH AVE SW",2017,21723,7914,325851
29779,28TH AVE W,"28TH AVE W, N/O W NEWTON N ST",2018,4233,3458,326436
12355,19TH AVE E,"19TH AVE E, N/O E REPUBLICAN ST",2017,2658,6736,326056
9061,NE 65TH ST,"NE 65TH ST, E/O 17TH AVE NE",2017,17268,17759,325933
21269,LATONA AVE NE,"LATONA AVE NE, N/O NE 45TH ST",2017,11295,1918,324607
31808,6TH AVE S,"6TH AVE S, S/O S HOLGATE ST",2017,7992,8749,326285
4458,SW 106TH ST,"SW 106TH ST, W/O 35TH AVE SW",2018,21629,5153,325527
15473,S INDUSTRIAL EB WAY,"S INDUSTRIAL EB WAY, NW/O 7TH AVE S",2017,20460,4125,324557
14141,RENTON AVE S,"RENTON AVE S, S/O S CLOVERDALE ST",2017,12523,7928,327104
26591,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, N/O SW ELMGROVE ST",2018,9582,5375,325510
20190,AIRPORT WAY S,"AIRPORT WAY S, SE/O 13TH AVE S",2018,8697,11076,327088
29696,35TH AVE NE,"35TH AVE NE, N/O NE 130TH N ST",2018,5398,13381,325588
11580,S ORCAS ST,"S ORCAS ST, E/O 55TH AVE S",2018,21003,1753,325092
41272,S ORCAS ST,"S ORCAS ST, E/O 39TH AVE S",2017,20994,4011,325861
43740,S OTHELLO ST,"S OTHELLO ST, E/O RAINIER AVE S",2018,21060,3692,325477
29566,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 117TH ST",2017,12660,3942,326025
26248,LATONA AVE NE,"LATONA AVE NE, N/O NE 60TH ST",2018,11307,4306,325601
13984,59TH AVE SW,"59TH AVE SW, N/O SW SPOKANE ST",2017,7864,1298,325894
31960,CALIFORNIA AVE SW,"CALIFORNIA AVE SW, S/O SW HILL ST",2017,9537,6263,325870
23518,S ROYAL BROUGHAM WAY,"S ROYAL BROUGHAM WAY, W/O AIRPORT WAY S",2017,21219,6832,325703
11901,E MADISON ST,"E MADISON ST, NE/O 13TH AVE",2017,14343,13837,325693
12088,N 80TH ST,"N 80TH ST, W/O BURKE AVE N",2018,15901,13836,325775
29883,NE 95TH ST,"NE 95TH ST, E/O 40TH AVE NE",2018,17903,7592,325068
20370,ROY ST,"ROY ST, NE/O 9TH AVE N",2017,9423,5006,326098
38901,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O MCGRAW ST",2018,12314,10341,325424
37725,23RD AVE S,"23RD AVE S, S/O S JUDKINS ST",2017,3450,17748,326100
20871,E PIKE ST,"E PIKE ST, E/O 12TH AVE",2018,14603,5670,325457
46121,12TH AVE NE,"12TH AVE NE, N/O NE 72ND ST",2018,1588,9221,325103
946,BOREN AVE,"BOREN AVE, NW/O MADISON ST",2017,9314,21094,326371
8572,WALL ST,"WALL ST, NE/O 2ND AVE",2017,13356,5288,324320
12225,1ST AVE,"1ST AVE, NW/O COLUMBIA ST",2017,1002,12409,325656
32525,E JOHN ST,"E JOHN ST, E/O 14TH AVE E",2018,14248,9745,325398
902,NW 80TH ST,"NW 80TH ST, W/O 6TH AVE NW",2018,18888,14631,325787
19981,RENTON AVE S,"RENTON AVE S, SE/O 62ND AVE S",2017,12543,8208,325964
23365,VIEWMONT WAY W,"VIEWMONT WAY W, NE/O 36TH AVE W",2018,13297,1666,325533
38619,NE 75TH ST,"NE 75TH ST, W/O 24TH AVE NE",2017,17522,21597,325859
37377,THACKERAY PL NE,"THACKERAY PL NE, S/O NE 47TH ST",2017,13128,1447,324608
18199,45TH AVE SW,"45TH AVE SW, N/O SW BRACE POINT DR",2018,6875,5952,325530
46482,N 35TH ST,"N 35TH ST, E/O ASHWORTH AVE N",2018,15307,2841,325565
4478,6TH AVE S,"6TH AVE S, S/O S ANDOVER ST",2017,8007,7726,324570
46655,NE 45TH ST,"NE 45TH ST, W/O 15TH AVE NE",2017,16852,29211,325670
26274,43RD AVE E,"43RD AVE E, N/O E NEWTON ST",2018,6635,971,326178
46185,NE RAVENNA EB BV,"NE RAVENNA EB BV, SE/O 16TH AVE NE",2018,18073,3047,325430
23568,7TH AVE NE,"7TH AVE NE, N/O NE 45TH ST ON RP",2018,8175,13396,325382
41535,6TH AVE N,"6TH AVE N, NW/O HALLADAY ST",2018,7911,9399,325278
35702,S MYRTLE PL,"S MYRTLE PL, SE/O S MYRTLE ST",2017,20900,14970,326255
41591,RAINIER AVE S,"RAINIER AVE S, SE/O S WALKER ST",2017,12360,37707,325660
25857,35TH AVE SW,"35TH AVE SW, N/O SW HENDERSON ST",2018,5481,18193,327464
2565,6TH AVE W,"6TH AVE W, N/O W HOWE ST",2018,8039,3467,325553
8471,15TH AVE S,"15TH AVE S, S/O S SPOKANE ST",2017,2151,10835,324794
29896,ROOSEVELT WAY NE,"ROOSEVELT WAY NE, N/O NE 70TH ST",2017,12620,13474,323886
23598,15TH AVE S,"15TH AVE S, S/O S FERDINAND ST",2017,2162,14513,326257
35731,UNIVERSITY WAY NE,"UNIVERSITY WAY NE, S/O NE RAVENNA EB BV",2017,13227,4041,326249
35454,NW 125TH ST,"NW 125TH ST, W/O 3RD AVE NW",2018,18222,3607,324991
8463,W NICKERSON ST,"W NICKERSON ST, W/O 3RD AVE W",2017,23612,18502,326599
44541,CLISE PL W,"CLISE PL W, N/O MAGNOLIA BLVD W",2018,9690,7817,326185
934,MERIDIAN AVE N,"MERIDIAN AVE N, S/O N 133RD ST",2018,11746,4533,325035
35559,WALL ST,"WALL ST, NE/O 3RD AVE",2017,13357,6703,324319
20140,49TH AVE SW,"49TH AVE SW, S/O SW HUDSON ST",2017,7211,1400,325816
35556,12TH AVE NE,"12TH AVE NE, S/O NE 63RD ST",2017,1577,5447,323980
27367,1ST AVE,"1ST AVE, SE/O SPRING ST",2017,1004,13834,326389
14359,25TH AVE SW,"25TH AVE SW, S/O SW HENDERSON ST",2018,3812,4663,325450
23945,NE 42ND ST,"NE 42ND ST, E/O 8TH AVE NE",2018,16786,3741,325469
2686,3RD AVE,"3RD AVE, SE/O JAMES ST",2017,4373,6263,324010
32303,AIRPORT WAY S,"AIRPORT WAY S, SE/O MAYNARD AVE S",2017,8654,12222,326381
46312,WALLINGFORD AVE N,"WALLINGFORD AVE N, N/O N 80TH ST",2017,13387,5440,324811
15377,MAGNOLIA BR WB,"MAGNOLIA BR WB, W/O W GALER ST FLYOVER",2017,11629,6593,324336
21494,S ROXBURY ST,"S ROXBURY ST, E/O 55TH AVE S",2017,21203,2591,324582
15287,NW MARKET ST,"NW MARKET ST, W/O 17TH AVE NW",2017,19229,20404,325687
38692,HARVARD AVE E,"HARVARD AVE E, N/O E EDGAR ST",2017,10858,21028,326030
21392,SEWARD PARK AVE S,"SEWARD PARK AVE S, S/O S HENDERSON ST",2017,12815,16118,325843
26822,MARINE VIEW DR SW,"MARINE VIEW DR SW, SE/O SW 102ND ST",2017,11646,3793,325857
44131,15TH AVE NE,"15TH AVE NE, N/O NE 45TH ST",2017,2035,9327,325642
23595,BEACON ER AVE S,"BEACON AVE S, N/O S HOLLY ST",2017,167611,7886,326305
24032,NE NORTHGATE WAY,"NE NORTHGATE WAY, W/O LAKE CITY WAY NE",2017,18024,12883,325879
25993,W DRAVUS ST,"W DRAVUS ST, W/O 27TH AVE W",2018,23231,8261,325610
26808,QUEEN ANNE DR,"QUEEN ANNE DR, E/O 2ND AVE N",2017,12327,15203,324489
29854,WATERS AVE S,"WATERS AVE S, SE/O S REDWING ST",2017,13469,1602,325841
46045,ADMIRAL AVALON RP,"ADMIRAL AVALON RP, NW/O 30TH AVE SW",2017,164880,3979,324900
2971,N 92ND ST,"N 92ND ST, W/O CORLISS AVE N",2017,16038,10329,326106
11918,3RD AVE,"3RD AVE, SE/O SENECA ST",2017,4380,9260,324004
9466,SW ROXBURY ST,"SW ROXBURY ST, E/O 30TH AVE SW",2018,22774,11890,326362
37880,LAKESIDE AVE S,"LAKESIDE AVE S, NE/O S LESCHI PL",2017,11258,7927,325943
14725,11TH AVE NE,"11TH AVE NE, S/O NE 50TH ST",2017,1410,5547,323978
37532,NE NORTHGATE WAY,"NE NORTHGATE WAY, W/O 15TH AVE NE",2018,18018,17985,327691
32353,1ST AVE,"1ST AVE, NW/O BROAD ST",2017,1021,12765,327425
9818,LAKE CITY WAY NE,"LAKE CITY WAY NE, NE/O NE 80TH ST",2017,11145,36598,325387
17446,N 80TH ST,"N 80TH ST, W/O ASHWORTH AVE N",2018,15897,11258,325779
17588,GOLF DR S,"GOLF DR S, SE/O S CHARLES ST",2017,10668,15793,325988
17734,E PINE ST,"E PINE ST, W/O 14TH AVE",2018,14639,7380,325459
38156,BOYLSTON AVE E,"BOYLSTON AVE E, S/O E LYNN ST",2017,9391,12268,326247
38625,NW MARKET ST,"NW MARKET ST, E/O 15TH AVE NW",2017,19226,28649,325685
44393,QUEEN ANNE AVE N,"QUEEN ANNE AVE N, S/O HIGHLAND DR",2017,12305,14166,325383
2789,NW MARKET ST,"NW MARKET ST, E/O 8TH AVE NW",2017,19222,27619,325678
2385,1ST AVE,"1ST AVE, SE/O COLUMBIA ST",2017,1001,13054,326385
35285,SW HOLDEN ST,"SW HOLDEN ST, E/O 12TH AVE SW",2018,22363,16123,325452
32352,NE 45TH ST,"NE 45TH ST, E/O THACKERAY PL NE",2017,16840,23009,325832
9080,LAKE WASHINGTON BLVD,"LAKE WASHINGTON BLVD, N/O MADRONA DR",2018,11198,5835,325026
23816,15TH AVE NE,"15TH AVE NE, S/O NE 50TH ST",2018,2036,10148,326138
20172,NE 70TH ST,"NE 70TH ST, E/O 55TH AVE NE",2018,17433,7235,325578
41603,WOODLAWN AVE NE,"WOODLAWN AVE NE, NW/O NE 72ND ST",2018,13712,3183,325033
901,NE 65TH ST,"NE 65TH ST, W/O 8TH AVE NE",2017,17258,15473,325806
3253,LEARY WAY NW,"LEARY WAY NW, NW/O NW 46TH ST",2017,11347,18085,325937
4751,CARKEEK DR S,"CARKEEK DR S, NW/O HARADEN PL S",2017,9610,2454,326261
32915,WALL ST,"WALL ST, NE/O 5TH AVE",2017,13359,7967,324316
35667,20TH AVE NW,"20TH AVE NW, N/O NW 62ND ST",2018,3025,6346,326558
17635,EASTLAKE AVE E,"EASTLAKE AVE E, N/O REPUBLICAN ST",2017,10166,12268,324826
37742,35TH AVE SW,"35TH AVE SW, S/O SW HOLDEN S ST",2017,5471,18170,325393
21429,NW 96TH ST,"NW 96TH ST, E/O 21ST AVE NW",2017,19124,2798,324686
32291,AIRPORT WAY S,"AIRPORT WAY S, NW/O S DORIS ST",2017,8693,18809,326217
2708,E PIKE ST,"E PIKE ST, E/O BROADWAY",2018,14600,10105,327281
46345,25TH AVE NE,"25TH AVE NE, N/O NE BLAKELEY ST",2017,3723,18210,325917
39103,LAKE WASHINGTON BLVD S,"LAKE WASHINGTON BLVD S, S/O S DAWSON ST",2017,11245,2545,324587
23703,S COLLEGE ST,"S COLLEGE ST, E/O 19TH AVE S",2017,19677,5537,324632
43832,N 80TH ST,"N 80TH ST, W/O AURORA AVE N",2018,15894,13987,325777
9333,S ALASKA ST,"S ALASKA ST, W/O 34TH AVE S",2017,19308,12706,326265
43677,LAKE CITY WAY NE,"LAKE CITY WAY NE, S/O NE 95TH ST",2017,11158,42194,325395
29495,SYLVAN WAY SW,"SYLVAN WAY SW, SE/O HIGH POINT DR SW",2017,13061,15978,325925
20259,50TH AVE S,"50TH AVE S, S/O S OREGON ST",2017,7442,9313,326116
25917,12TH AVE S,"12TH AVE S, N/O S MASSACHUSETTS ST",2017,1659,2383,326227
4822,NE 40 UPPER ST,"NE 40 UPPER ST, W/O PASADENA PL NE",2018,16747,7151,325471
4581,SW HUDSON ST,"SW HUDSON ST, W/O 50TH AVE SW",2018,22446,2155,325620
12050,8TH AVE NW,"8TH AVE NW, N/O NW 51ST ST",2018,8380,10067,326082
9769,35TH AVE SW,"35TH AVE SW, S/O SW 98TH ST",2018,5487,9392,325501
40988,BATTERY ST,"BATTERY ST, SW/O 5TH AVE",2017,9076,6453,324321
523,E OLIVE WAY,"E OLIVE WAY, W/O BOYLSTON W AVE E",2017,14588,18764,326237
29765,3RD AVE,"3RD AVE, NW/O JAMES ST",2017,4375,6815,324008
17578,BOYER AVE E,"BOYER AVE E, NW/O 22ND AVE E",2017,9354,15006,326033
23773,NE PACIFIC ST,"NE PACIFIC ST, W/O BROOKLYN AVE NE",2017,18043,13664,326102
26952,AIRPORT WAY S,"AIRPORT WAY S, S/O S BRADFORD ST",2017,8679,21010,326019
31661,35TH AVE NE,"35TH AVE NE, S/O NE 113TH ST",2018,5389,9760,325076
43819,UNIVERSITY WAY NE,"UNIVERSITY WAY NE, N/O NE 45TH ST",2017,13222,5576,327097
29086,SW HOLDEN ST,"SW HOLDEN ST, E/O 41ST AVE SW",2018,22388,2228,327314
45079,51ST AVE S,"51ST AVE S, S/O S CAMBRIDGE ST",2018,7528,9865,325479
17597,DEXTER AVE,"DEXTER AVE, S/O DENNY WAY",2017,10070,11646,325931
41031,NE 45TH ST,"NE 45TH ST, E/O BROOKLYN AVE NE",2018,16851,30758,326476
24033,23RD AVE S,"23RD AVE S, S/O E YESLER WAY",2018,3442,23168,326632
17410,3RD AVE,"3RD AVE, SE/O UNIVERSITY ST",2017,4381,9474,323997
35675,SEWARD PARK AVE S,"SEWARD PARK AVE S, SW/O LAKE SHORE DR S",2018,12796,2941,325626
23795,5TH AVE NE,"5TH AVE NE, N/O NE 95TH ST",2018,7328,12808,325586
3015,20TH AVE NE,"20TH AVE NE, S/O NE 50TH ST",2018,2961,3090,325736
26330,S INDUSTRIAL WB WAY,"S INDUSTRIAL WB WAY, NW/O 7TH AVE S",2017,20464,4297,324558
23423,DEXTER WAY N,"DEXTER WAY N, NW/O DEXTER AVE N",2017,10097,3205,324461
9410,E MADISON ST,"E MADISON ST, NE/O 15TH AVE",2017,14346,15903,325689
43883,SW ALASKA ST,"SW ALASKA ST, E/O 42ND AVE SW",2017,21737,13405,326335
35313,23RD AVE,"23RD AVE, S/O E ALDER ST",2018,3354,18456,326607
37637,17TH AVE SW,"17TH AVE SW, S/O DELRIDGE WAY SW",2017,2513,6827,325853
